sortedWorstFit, 669, 689, 681, 649, 657, 676, 670, 659, 668, 656, 1331, 1330, 1349, 1368, 1360, 1303, 1310, 1326, 1327, 1351, 2636, 2647, 2636, 2658, 2637, 2699, 2618, 2689, 2664, 2673, 5333, 5376, 5322, 5307, 5402, 5350, 5342, 5294, 5313, 5312, 10615, 10621, 10664, 10559, 10585, 10584, 10657, 10657, 10665, 10593

FullFit, 693, 719, 701, 665, 680, 693, 695, 684, 687, 674, 1377, 1353, 1386, 1399, 1394, 1340, 1347, 1360, 1361, 1382, 2682, 2707, 2690, 2707, 2696, 2748, 2662, 2732, 2710, 2724, 5403, 5428, 5395, 5388, 5477, 5418, 5411, 5365, 5385, 5363, 10712, 10712, 10766, 10653, 10701, 10676, 10755, 10773, 10764, 10710

sortedFullFit, 677, 708, 689, 653, 668, 684, 677, 675, 677, 662, 1349, 1335, 1363, 1379, 1373, 1321, 1325, 1336, 1347, 1362, 2646, 2679, 2653, 2680, 2653, 2715, 2634, 2718, 2682, 2685, 5350, 5403, 5368, 5337, 5423, 5378, 5389, 5329, 5345, 5330, 10672, 10662, 10694, 10587, 10641, 10635, 10696, 10672, 10704, 10646


modFullFit,  677, 708, 691, 661, 668, 685, 678, 677, 678, 663, 1353, 1337, 1365, 1381, 1372, 1320, 1322, 1337, 1346, 1363, 2660, 2675, 2662, 2669, 2660, 2713, 2632, 2706, 2671, 2682, 5361, 5406, 5362, 5345, 5448, 5378, 5384, 5324, 5335, 5321, 10675, 10679, 10696, 10585, 10617, 10621, 10696, 10677, 10736, 10661 

sortedModFullFit, 673, 698, 683, 653, 657, 681, 672, 671, 673, 657, 1338, 1329, 1350, 1370, 1364, 1311, 1313, 1329, 1335, 1357, 2635, 2663, 2650, 2662, 2642, 2701, 2617, 2699, 2665, 2677, 5336, 5382, 5338, 5312, 5418, 5357, 5366, 5309, 5320, 5314, 10652, 10636, 10675, 10561, 10592, 10585, 10663, 10653, 10680, 10623




